field,type,example
dll_path,keyword,C:\Windows\System32\kernel32.dll
dll_pe_architecture,keyword,x64
dll_pe_company,keyword,Microsoft Corporation
dll_pe_description,keyword,Paint
dll_pe_file_version,keyword,6.3.9600.17415
dll_pe_go_import_hash,keyword,10bddcb4cee42080f76c88d9ff964491
dll_pe_go_imports,flattened,
dll_pe_go_imports_names_entropy,long,
dll_pe_go_imports_names_var_entropy,long,
dll_pe_go_stripped,boolean,
dll_pe_imphash,keyword,0c6803c4e922103c4dca5963aad36ddf
dll_pe_import_hash,keyword,d41d8cd98f00b204e9800998ecf8427e
dll_pe_imports,flattened,
dll_pe_imports_names_entropy,long,
dll_pe_imports_names_var_entropy,long,
dll_pe_original_file_name,keyword,MSPAINT.EXE
dll_pe_pehash,keyword,73ff189b63cd6be375a7ff25179a38d347651975
dll_pe_product,keyword,Microsoft® Windows® Operating System
dll_pe_sections,nested,
dll_pe_sections_entropy,long,
dll_pe_sections_name,keyword,
dll_pe_sections_physical_size,long,
dll_pe_sections_var_entropy,long,
dll_pe_sections_virtual_size,long,
dns_answers,object,
dns_answers_class,keyword,IN
dns_answers_data,keyword,10.10.10.10
dns_answers_name,keyword,www.example.com
dns_answers_ttl,long,180
dns_answers_type,keyword,CNAME
dns_header_flags,keyword,"[""RD"", ""RA""]"
dns_id,keyword,62111
dns_op_code,keyword,QUERY
dns_question_class,keyword,IN
dns_question_name,keyword,www.example.com
dns_question_registered_domain,keyword,example.com
dns_question_subdomain,keyword,www
dns_question_top_level_domain,keyword,co.uk
dns_question_type,keyword,AAAA
dns_resolved_ip,ip,"[""10.10.10.10"", ""10.10.10.11""]"
dns_response_code,keyword,NOERROR
dns_type,keyword,answer
ecs_version,keyword,1.0.0
email_attachments,nested,
email_attachments_file_extension,keyword,txt
email_attachments_file_hash_cdhash,keyword,3783b4052fd474dbe30676b45c329e7a6d44acd9
email_attachments_file_hash_md5,keyword,
email_attachments_file_hash_sha1,keyword,
email_attachments_file_hash_sha256,keyword,
email_attachments_file_hash_sha384,keyword,
email_attachments_file_hash_sha512,keyword,
email_attachments_file_hash_ssdeep,keyword,
email_attachments_file_hash_tlsh,keyword,
email_attachments_file_mime_type,keyword,text/plain
email_attachments_file_name,keyword,attachment.txt
email_attachments_file_size,long,64329
email_bcc_address,keyword,bcc.user1@example.com
email_cc_address,keyword,cc.user1@example.com
email_content_type,keyword,text/plain
email_delivery_timestamp,date,2020-11-10T22:12:34.8196921Z
email_direction,keyword,inbound
email_from_address,keyword,sender@example.com
email_local_id,keyword,c26dbea0-80d5-463b-b93c-4e8b708219ce
email_message_id,wildcard,81ce15$8r2j59@mail01.example.com
email_origination_timestamp,date,2020-11-10T22:12:34.8196921Z
email_reply_to_address,keyword,reply.here@example.com
email_sender_address,keyword,
email_subject,keyword,Please see this important message.
email_subject_text,match_only_text,Please see this important message.
email_to_address,keyword,user1@example.com
email_x_mailer,keyword,Spambot v2.5
error_code,keyword,
error_id,keyword,
error_message,match_only_text,
error_stack_trace,wildcard,
error_stack_trace_text,match_only_text,
error_type,keyword,java.lang.NullPointerException
event_action,keyword,user-password-change
event_agent_id_status,keyword,verified
event_category,keyword,authentication
event_code,keyword,4648
event_created,date,2016-05-23T08:05:34.857Z
event_dataset,keyword,apache.access
event_duration,long,
event_end,date,
event_hash,keyword,123456789012345678901234567890ABCD
event_id,keyword,8a4f500d
event_ingested,date,2016-05-23T08:05:35.101Z
event_kind,keyword,alert
event_module,keyword,apache
event_original,keyword,Sep 19 08:26:10 host CEF:0&#124;Security&#124; threatmanager&#124;1.0&#124;100&#124; worm successfully stopped&#124;10&#124;src=10.0.0.1 dst=2.1.2.2spt=1232
event_outcome,keyword,success
event_provider,keyword,kernel
event_reason,keyword,Terminated an unexpected process
event_reference,keyword,https://system.example.com/event/#0001234
event_risk_score,float,
event_risk_score_norm,float,
event_sequence,long,
event_severity,long,7
event_start,date,
event_timezone,keyword,
event_type,keyword,
event_url,keyword,https://mysystem.example.com/alert/5271dedb-f5b0-4218-87f0-4ac4870a38fe
faas_coldstart,boolean,
faas_execution,keyword,af9d5aa4-a685-4c5f-a22b-444f80b3cc28
faas_id,keyword,arn:aws:lambda:us-west-2:123456789012:function:my-function
faas_name,keyword,my-function
faas_trigger_request_id,keyword,123456789
faas_trigger_type,keyword,http
faas_version,keyword,123
file_accessed,date,
file_attributes,keyword,"[""readonly"", ""system""]"
file_code_signature_digest_algorithm,keyword,sha256
file_code_signature_exists,boolean,true
file_code_signature_flags,keyword,570522385
file_code_signature_signing_id,keyword,com.apple.xpc.proxy
file_code_signature_status,keyword,ERROR_UNTRUSTED_ROOT
file_code_signature_subject_name,keyword,Microsoft Corporation
file_code_signature_team_id,keyword,EQHXZ8M8AV
file_code_signature_thumbprint_sha256,keyword,c0f23a8eb1cba0ccaa88483b5a234c96e4bdfec719bf458024e68c2a8183476b
file_code_signature_timestamp,date,2021-01-01T12:10:30Z
file_code_signature_trusted,boolean,true
file_code_signature_valid,boolean,true
file_created,date,
file_ctime,date,
file_device,keyword,sda
file_directory,keyword,/home/alice
file_drive_letter,keyword,C
file_elf_architecture,keyword,x86-64
file_elf_byte_order,keyword,Little Endian
file_elf_cpu_type,keyword,Intel
file_elf_creation_date,date,
file_elf_exports,flattened,
file_elf_go_import_hash,keyword,10bddcb4cee42080f76c88d9ff964491
file_elf_go_imports,flattened,
file_elf_go_imports_names_entropy,long,
file_elf_go_imports_names_var_entropy,long,
file_elf_go_stripped,boolean,
file_elf_header_abi_version,keyword,
file_elf_header_class,keyword,
file_elf_header_data,keyword,
file_elf_header_entrypoint,long,
file_elf_header_object_version,keyword,
file_elf_header_os_abi,keyword,
file_elf_header_type,keyword,
file_elf_header_version,keyword,
file_elf_import_hash,keyword,d41d8cd98f00b204e9800998ecf8427e
file_elf_imports,flattened,
file_elf_imports_names_entropy,long,
file_elf_imports_names_var_entropy,long,
file_elf_sections,nested,
file_elf_sections_chi2,long,
file_elf_sections_entropy,long,
file_elf_sections_flags,keyword,
file_elf_sections_name,keyword,
file_elf_sections_physical_offset,keyword,
file_elf_sections_physical_size,long,
file_elf_sections_type,keyword,
file_elf_sections_var_entropy,long,
file_elf_sections_virtual_address,long,
file_elf_sections_virtual_size,long,
file_elf_segments,nested,
file_elf_segments_sections,keyword,
file_elf_segments_type,keyword,
file_elf_shared_libraries,keyword,
file_elf_telfhash,keyword,
file_extension,keyword,png
file_fork_name,keyword,Zone.Identifer
file_gid,keyword,1001
file_group,keyword,alice
file_hash_cdhash,keyword,3783b4052fd474dbe30676b45c329e7a6d44acd9
file_hash_md5,keyword,
file_hash_sha1,keyword,
file_hash_sha256,keyword,
file_hash_sha384,keyword,
file_hash_sha512,keyword,
file_hash_ssdeep,keyword,
file_hash_tlsh,keyword,
file_inode,keyword,256383
file_macho_go_import_hash,keyword,10bddcb4cee42080f76c88d9ff964491
file_macho_go_imports,flattened,
file_macho_go_imports_names_entropy,long,
file_macho_go_imports_names_var_entropy,long,
file_macho_go_stripped,boolean,
file_macho_import_hash,keyword,d41d8cd98f00b204e9800998ecf8427e
file_macho_imports,flattened,
file_macho_imports_names_entropy,long,
file_macho_imports_names_var_entropy,long,
file_macho_sections,nested,
file_macho_sections_entropy,long,
file_macho_sections_name,keyword,
file_macho_sections_physical_size,long,
file_macho_sections_var_entropy,long,
file_macho_sections_virtual_size,long,
