field,type,example
process_entry_leader_saved_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_entry_leader_saved_user_name,keyword,a.einstein
process_entry_leader_saved_user_name_text,match_only_text,a.einstein
process_entry_leader_start,date,2016-05-23T08:05:34.853Z
process_entry_leader_supplemental_groups_id,keyword,
process_entry_leader_supplemental_groups_name,keyword,
process_entry_leader_tty,object,
process_entry_leader_tty_char_device_major,long,4
process_entry_leader_tty_char_device_minor,long,1
process_entry_leader_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_entry_leader_user_name,keyword,a.einstein
process_entry_leader_user_name_text,match_only_text,a.einstein
process_entry_leader_vpid,long,4242
process_entry_leader_working_directory,keyword,/home/alice
process_entry_leader_working_directory_text,match_only_text,/home/alice
process_env_vars,keyword,"[""PATH=/usr/local/bin:/usr/bin"", ""USER=ubuntu""]"
process_executable,keyword,/usr/bin/ssh
process_executable_text,match_only_text,/usr/bin/ssh
process_exit_code,long,137
process_group_id,keyword,
process_group_name,keyword,
process_group_leader_args,keyword,"[""/usr/bin/ssh"", ""-l"", ""user"", ""10.0.0.16""]"
process_group_leader_args_count,long,4
process_group_leader_command_line,wildcard,/usr/bin/ssh -l user 10.0.0.16
process_group_leader_command_line_text,match_only_text,/usr/bin/ssh -l user 10.0.0.16
process_group_leader_entity_id,keyword,c2c455d9f99375d
process_group_leader_executable,keyword,/usr/bin/ssh
process_group_leader_executable_text,match_only_text,/usr/bin/ssh
process_group_leader_group_id,keyword,
process_group_leader_group_name,keyword,
process_group_leader_interactive,boolean,True
process_group_leader_name,keyword,ssh
process_group_leader_name_text,match_only_text,ssh
process_group_leader_pid,long,4242
process_group_leader_real_group_id,keyword,
process_group_leader_real_group_name,keyword,
process_group_leader_real_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_group_leader_real_user_name,keyword,a.einstein
process_group_leader_real_user_name_text,match_only_text,a.einstein
process_group_leader_same_as_process,boolean,True
process_group_leader_saved_group_id,keyword,
process_group_leader_saved_group_name,keyword,
process_group_leader_saved_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_group_leader_saved_user_name,keyword,a.einstein
process_group_leader_saved_user_name_text,match_only_text,a.einstein
process_group_leader_start,date,2016-05-23T08:05:34.853Z
process_group_leader_supplemental_groups_id,keyword,
process_group_leader_supplemental_groups_name,keyword,
process_group_leader_tty,object,
process_group_leader_tty_char_device_major,long,4
process_group_leader_tty_char_device_minor,long,1
process_group_leader_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_group_leader_user_name,keyword,a.einstein
process_group_leader_user_name_text,match_only_text,a.einstein
process_group_leader_vpid,long,4242
process_group_leader_working_directory,keyword,/home/alice
process_group_leader_working_directory_text,match_only_text,/home/alice
process_hash_cdhash,keyword,3783b4052fd474dbe30676b45c329e7a6d44acd9
process_hash_md5,keyword,
process_hash_sha1,keyword,
process_hash_sha256,keyword,
process_hash_sha384,keyword,
process_hash_sha512,keyword,
process_hash_ssdeep,keyword,
process_hash_tlsh,keyword,
process_interactive,boolean,True
process_io,object,
process_io_bytes_skipped,object,
process_io_bytes_skipped_length,long,
process_io_bytes_skipped_offset,long,
process_io_max_bytes_per_process_exceeded,boolean,
process_io_text,wildcard,
process_io_total_bytes_captured,long,
process_io_total_bytes_skipped,long,
process_io_type,keyword,
process_macho_go_import_hash,keyword,10bddcb4cee42080f76c88d9ff964491
process_macho_go_imports,flattened,
process_macho_go_imports_names_entropy,long,
process_macho_go_imports_names_var_entropy,long,
process_macho_go_stripped,boolean,
process_macho_import_hash,keyword,d41d8cd98f00b204e9800998ecf8427e
process_macho_imports,flattened,
process_macho_imports_names_entropy,long,
process_macho_imports_names_var_entropy,long,
process_macho_sections,nested,
process_macho_sections_entropy,long,
process_macho_sections_name,keyword,
process_macho_sections_physical_size,long,
process_macho_sections_var_entropy,long,
process_macho_sections_virtual_size,long,
process_macho_symhash,keyword,d3ccf195b62a9279c3c19af1080497ec
process_name,keyword,ssh
process_name_text,match_only_text,ssh
process_parent_args,keyword,"[""/usr/bin/ssh"", ""-l"", ""user"", ""10.0.0.16""]"
process_parent_args_count,long,4
process_parent_code_signature_digest_algorithm,keyword,sha256
process_parent_code_signature_exists,boolean,true
process_parent_code_signature_flags,keyword,570522385
process_parent_code_signature_signing_id,keyword,com.apple.xpc.proxy
process_parent_code_signature_status,keyword,ERROR_UNTRUSTED_ROOT
process_parent_code_signature_subject_name,keyword,Microsoft Corporation
process_parent_code_signature_team_id,keyword,EQHXZ8M8AV
process_parent_code_signature_thumbprint_sha256,keyword,c0f23a8eb1cba0ccaa88483b5a234c96e4bdfec719bf458024e68c2a8183476b
process_parent_code_signature_timestamp,date,2021-01-01T12:10:30Z
process_parent_code_signature_trusted,boolean,true
process_parent_code_signature_valid,boolean,true
process_parent_command_line,wildcard,/usr/bin/ssh -l user 10.0.0.16
process_parent_command_line_text,match_only_text,/usr/bin/ssh -l user 10.0.0.16
process_parent_elf_architecture,keyword,x86-64
process_parent_elf_byte_order,keyword,Little Endian
process_parent_elf_cpu_type,keyword,Intel
process_parent_elf_creation_date,date,
process_parent_elf_exports,flattened,
process_parent_elf_go_import_hash,keyword,10bddcb4cee42080f76c88d9ff964491
process_parent_elf_go_imports,flattened,
process_parent_elf_go_imports_names_entropy,long,
process_parent_elf_go_imports_names_var_entropy,long,
process_parent_elf_go_stripped,boolean,
process_parent_elf_header_abi_version,keyword,
process_parent_elf_header_class,keyword,
process_parent_elf_header_data,keyword,
process_parent_elf_header_entrypoint,long,
process_parent_elf_header_object_version,keyword,
process_parent_elf_header_os_abi,keyword,
process_parent_elf_header_type,keyword,
process_parent_elf_header_version,keyword,
process_parent_elf_import_hash,keyword,d41d8cd98f00b204e9800998ecf8427e
process_parent_elf_imports,flattened,
process_parent_elf_imports_names_entropy,long,
process_parent_elf_imports_names_var_entropy,long,
process_parent_elf_sections,nested,
process_parent_elf_sections_chi2,long,
process_parent_elf_sections_entropy,long,
process_parent_elf_sections_flags,keyword,
process_parent_elf_sections_name,keyword,
process_parent_elf_sections_physical_offset,keyword,
process_parent_elf_sections_physical_size,long,
process_parent_elf_sections_type,keyword,
process_parent_elf_sections_var_entropy,long,
process_parent_elf_sections_virtual_address,long,
process_parent_elf_sections_virtual_size,long,
process_parent_elf_segments,nested,
process_parent_elf_segments_sections,keyword,
process_parent_elf_segments_type,keyword,
process_parent_elf_shared_libraries,keyword,
process_parent_elf_telfhash,keyword,
process_parent_end,date,2016-05-23T08:05:34.853Z
process_parent_entity_id,keyword,c2c455d9f99375d
process_parent_executable,keyword,/usr/bin/ssh
process_parent_executable_text,match_only_text,/usr/bin/ssh
process_parent_exit_code,long,137
process_parent_group_id,keyword,
process_parent_group_name,keyword,
process_parent_group_leader_entity_id,keyword,c2c455d9f99375d
process_parent_group_leader_pid,long,4242
process_parent_group_leader_start,date,2016-05-23T08:05:34.853Z
process_parent_group_leader_vpid,long,4242
process_parent_hash_cdhash,keyword,3783b4052fd474dbe30676b45c329e7a6d44acd9
process_parent_hash_md5,keyword,
process_parent_hash_sha1,keyword,
process_parent_hash_sha256,keyword,
process_parent_hash_sha384,keyword,
process_parent_hash_sha512,keyword,
process_parent_hash_ssdeep,keyword,
process_parent_hash_tlsh,keyword,
process_parent_interactive,boolean,True
process_parent_macho_go_import_hash,keyword,10bddcb4cee42080f76c88d9ff964491
process_parent_macho_go_imports,flattened,
process_parent_macho_go_imports_names_entropy,long,
process_parent_macho_go_imports_names_var_entropy,long,
process_parent_macho_go_stripped,boolean,
process_parent_macho_import_hash,keyword,d41d8cd98f00b204e9800998ecf8427e
process_parent_macho_imports,flattened,
process_parent_macho_imports_names_entropy,long,
process_parent_macho_imports_names_var_entropy,long,
process_parent_macho_sections,nested,
process_parent_macho_sections_entropy,long,
process_parent_macho_sections_name,keyword,
process_parent_macho_sections_physical_size,long,
process_parent_macho_sections_var_entropy,long,
process_parent_macho_sections_virtual_size,long,
process_parent_macho_symhash,keyword,d3ccf195b62a9279c3c19af1080497ec
process_parent_name,keyword,ssh
process_parent_name_text,match_only_text,ssh
process_parent_pe_architecture,keyword,x64
process_parent_pe_company,keyword,Microsoft Corporation
process_parent_pe_description,keyword,Paint
process_parent_pe_file_version,keyword,6.3.9600.17415
process_parent_pe_go_import_hash,keyword,10bddcb4cee42080f76c88d9ff964491
process_parent_pe_go_imports,flattened,
process_parent_pe_go_imports_names_entropy,long,
process_parent_pe_go_imports_names_var_entropy,long,
process_parent_pe_go_stripped,boolean,
process_parent_pe_imphash,keyword,0c6803c4e922103c4dca5963aad36ddf
process_parent_pe_import_hash,keyword,d41d8cd98f00b204e9800998ecf8427e
process_parent_pe_imports,flattened,
process_parent_pe_imports_names_entropy,long,
process_parent_pe_imports_names_var_entropy,long,
process_parent_pe_original_file_name,keyword,MSPAINT.EXE
process_parent_pe_pehash,keyword,73ff189b63cd6be375a7ff25179a38d347651975
process_parent_pe_product,keyword,Microsoft® Windows® Operating System
process_parent_pe_sections,nested,
process_parent_pe_sections_entropy,long,
process_parent_pe_sections_name,keyword,
process_parent_pe_sections_physical_size,long,
process_parent_pe_sections_var_entropy,long,
process_parent_pe_sections_virtual_size,long,
process_parent_pid,long,4242
process_parent_real_group_id,keyword,
process_parent_real_group_name,keyword,
process_parent_real_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_parent_real_user_name,keyword,a.einstein
process_parent_real_user_name_text,match_only_text,a.einstein
process_parent_saved_group_id,keyword,
process_parent_saved_group_name,keyword,
process_parent_saved_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_parent_saved_user_name,keyword,a.einstein
process_parent_saved_user_name_text,match_only_text,a.einstein
process_parent_start,date,2016-05-23T08:05:34.853Z
process_parent_supplemental_groups_id,keyword,
process_parent_supplemental_groups_name,keyword,
process_parent_thread_capabilities_effective,keyword,"[""CAP_BPF"", ""CAP_SYS_ADMIN""]"
process_parent_thread_capabilities_permitted,keyword,"[""CAP_BPF"", ""CAP_SYS_ADMIN""]"
process_parent_thread_id,long,4242
process_parent_thread_name,keyword,thread-0
process_parent_title,keyword,
process_parent_title_text,match_only_text,
process_parent_tty,object,
process_parent_tty_char_device_major,long,4
process_parent_tty_char_device_minor,long,1
process_parent_uptime,long,1325
process_parent_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_parent_user_name,keyword,a.einstein
process_parent_user_name_text,match_only_text,a.einstein
process_parent_vpid,long,4242
process_parent_working_directory,keyword,/home/alice
process_parent_working_directory_text,match_only_text,/home/alice
process_pe_architecture,keyword,x64
process_pe_company,keyword,Microsoft Corporation
process_pe_description,keyword,Paint
process_pe_file_version,keyword,6.3.9600.17415
process_pe_go_import_hash,keyword,10bddcb4cee42080f76c88d9ff964491
process_pe_go_imports,flattened,
process_pe_go_imports_names_entropy,long,
process_pe_go_imports_names_var_entropy,long,
process_pe_go_stripped,boolean,
process_pe_imphash,keyword,0c6803c4e922103c4dca5963aad36ddf
process_pe_import_hash,keyword,d41d8cd98f00b204e9800998ecf8427e
process_pe_imports,flattened,
process_pe_imports_names_entropy,long,
process_pe_imports_names_var_entropy,long,
process_pe_original_file_name,keyword,MSPAINT.EXE
process_pe_pehash,keyword,73ff189b63cd6be375a7ff25179a38d347651975
process_pe_product,keyword,Microsoft® Windows® Operating System
process_pe_sections,nested,
process_pe_sections_entropy,long,
process_pe_sections_name,keyword,
process_pe_sections_physical_size,long,
process_pe_sections_var_entropy,long,
process_pe_sections_virtual_size,long,
process_pid,long,4242
process_previous_args,keyword,"[""/usr/bin/ssh"", ""-l"", ""user"", ""10.0.0.16""]"
process_previous_args_count,long,4
process_previous_executable,keyword,/usr/bin/ssh
process_previous_executable_text,match_only_text,/usr/bin/ssh
process_real_group_id,keyword,
process_real_group_name,keyword,
process_real_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_real_user_name,keyword,a.einstein
process_real_user_name_text,match_only_text,a.einstein
process_saved_group_id,keyword,
process_saved_group_name,keyword,
process_saved_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_saved_user_name,keyword,a.einstein
process_saved_user_name_text,match_only_text,a.einstein
process_session_leader_args,keyword,"[""/usr/bin/ssh"", ""-l"", ""user"", ""10.0.0.16""]"
process_session_leader_args_count,long,4
process_session_leader_command_line,wildcard,/usr/bin/ssh -l user 10.0.0.16
process_session_leader_command_line_text,match_only_text,/usr/bin/ssh -l user 10.0.0.16
process_session_leader_entity_id,keyword,c2c455d9f99375d
process_session_leader_executable,keyword,/usr/bin/ssh
process_session_leader_executable_text,match_only_text,/usr/bin/ssh
process_session_leader_group_id,keyword,
process_session_leader_group_name,keyword,
process_session_leader_interactive,boolean,True
process_session_leader_name,keyword,ssh
process_session_leader_name_text,match_only_text,ssh
process_session_leader_parent_entity_id,keyword,c2c455d9f99375d
process_session_leader_parent_pid,long,4242
process_session_leader_parent_session_leader_entity_id,keyword,c2c455d9f99375d
process_session_leader_parent_session_leader_pid,long,4242
process_session_leader_parent_session_leader_start,date,2016-05-23T08:05:34.853Z
process_session_leader_parent_session_leader_vpid,long,4242
process_session_leader_parent_start,date,2016-05-23T08:05:34.853Z
process_session_leader_parent_vpid,long,4242
process_session_leader_pid,long,4242
process_session_leader_real_group_id,keyword,
process_session_leader_real_group_name,keyword,
process_session_leader_real_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_session_leader_real_user_name,keyword,a.einstein
process_session_leader_real_user_name_text,match_only_text,a.einstein
process_session_leader_same_as_process,boolean,True
process_session_leader_saved_group_id,keyword,
process_session_leader_saved_group_name,keyword,
process_session_leader_saved_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_session_leader_saved_user_name,keyword,a.einstein
process_session_leader_saved_user_name_text,match_only_text,a.einstein
process_session_leader_start,date,2016-05-23T08:05:34.853Z
process_session_leader_supplemental_groups_id,keyword,
process_session_leader_supplemental_groups_name,keyword,
process_session_leader_tty,object,
process_session_leader_tty_char_device_major,long,4
process_session_leader_tty_char_device_minor,long,1
process_session_leader_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_session_leader_user_name,keyword,a.einstein
process_session_leader_user_name_text,match_only_text,a.einstein
process_session_leader_vpid,long,4242
process_session_leader_working_directory,keyword,/home/alice
process_session_leader_working_directory_text,match_only_text,/home/alice
process_start,date,2016-05-23T08:05:34.853Z
process_supplemental_groups_id,keyword,
process_supplemental_groups_name,keyword,
process_thread_capabilities_effective,keyword,"[""CAP_BPF"", ""CAP_SYS_ADMIN""]"
process_thread_capabilities_permitted,keyword,"[""CAP_BPF"", ""CAP_SYS_ADMIN""]"
process_thread_id,long,4242
process_thread_name,keyword,thread-0
process_title,keyword,
process_title_text,match_only_text,
process_tty,object,
process_tty_char_device_major,long,4
process_tty_char_device_minor,long,1
process_tty_columns,long,80
process_tty_rows,long,24
process_uptime,long,1325
process_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
process_user_name,keyword,a.einstein
process_user_name_text,match_only_text,a.einstein
process_vpid,long,4242
process_working_directory,keyword,/home/alice
process_working_directory_text,match_only_text,/home/alice
registry_data_bytes,keyword,ZQBuAC0AVQBTAAAAZQBuAAAAAAA=
registry_data_strings,wildcard,"[""C:\rta\red_ttp\bin\myapp.exe""]"
registry_data_type,keyword,REG_SZ
registry_hive,keyword,HKLM
registry_key,keyword,SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\winword.exe
registry_path,keyword,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\winword.exe\Debugger
registry_value,keyword,Debugger
related_hash,keyword,
related_hosts,keyword,
related_ip,ip,
related_user,keyword,
rule_author,keyword,"[""Star-Lord""]"
rule_category,keyword,Attempted Information Leak
rule_description,keyword,Block requests to public DNS over HTTPS / TLS protocols
rule_id,keyword,101
rule_license,keyword,Apache 2.0
rule_name,keyword,BLOCK_DNS_over_TLS
rule_reference,keyword,https://en.wikipedia.org/wiki/DNS_over_TLS
rule_ruleset,keyword,Standard_Protocol_Filters
rule_uuid,keyword,1100110011
rule_version,keyword,1.1
server_address,keyword,
server_as_number,long,15169
server_as_organization_name,keyword,Google LLC
server_as_organization_name_text,match_only_text,Google LLC
server_bytes,long,184
server_domain,keyword,foo.example.com
server_geo_city_name,keyword,Montreal
server_geo_continent_code,keyword,
server_geo_continent_name,keyword,North America
server_geo_country_iso_code,keyword,CA
server_geo_country_name,keyword,Canada
server_geo_location,geo_point,"{ ""lon"": -73.614830, ""lat"": 45.505918 }"
server_geo_name,keyword,boston-dc
server_geo_postal_code,keyword,94040
server_geo_region_iso_code,keyword,CA-QC
server_geo_region_name,keyword,Quebec
server_geo_timezone,keyword,America/Argentina/Buenos_Aires
server_ip,ip,
server_mac,keyword,00-00-5E-00-53-23
server_nat_ip,ip,
server_nat_port,long,
server_packets,long,12
server_port,long,
server_registered_domain,keyword,example.com
server_subdomain,keyword,east
server_top_level_domain,keyword,co.uk
server_user_domain,keyword,
server_user_email,keyword,
server_user_full_name,keyword,Albert Einstein
server_user_full_name_text,match_only_text,Albert Einstein
server_user_group_domain,keyword,
server_user_group_id,keyword,
server_user_group_name,keyword,
server_user_hash,keyword,
server_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
server_user_name,keyword,a.einstein
server_user_name_text,match_only_text,a.einstein
server_user_roles,keyword,"[""kibana_admin"", ""reporting_user""]"
service_address,keyword,172.26.0.2:5432
service_environment,keyword,production
service_ephemeral_id,keyword,8a4f500f
service_id,keyword,d37e5ebfe0ae6c4972dbe9f0174a1637bb8247f6
service_name,keyword,binaryfluxsearch-metrics
service_node_name,keyword,instance-0000000016
service_node_role,keyword,background_tasks
service_node_roles,keyword,"[""ui"", ""background_tasks""]"
service_origin_address,keyword,172.26.0.2:5432
service_origin_environment,keyword,production
service_origin_ephemeral_id,keyword,8a4f500f
service_origin_id,keyword,d37e5ebfe0ae6c4972dbe9f0174a1637bb8247f6
service_origin_name,keyword,binaryfluxsearch-metrics
service_origin_node_name,keyword,instance-0000000016
service_origin_node_role,keyword,background_tasks
service_origin_node_roles,keyword,"[""ui"", ""background_tasks""]"
service_origin_state,keyword,
service_origin_type,keyword,binaryfluxsearch
service_origin_version,keyword,3.2.4
service_state,keyword,
service_target_address,keyword,172.26.0.2:5432
service_target_environment,keyword,production
service_target_ephemeral_id,keyword,8a4f500f
service_target_id,keyword,d37e5ebfe0ae6c4972dbe9f0174a1637bb8247f6
service_target_name,keyword,binaryfluxsearch-metrics
service_target_node_name,keyword,instance-0000000016
service_target_node_role,keyword,background_tasks
service_target_node_roles,keyword,"[""ui"", ""background_tasks""]"
service_target_state,keyword,
service_target_type,keyword,binaryfluxsearch
service_target_version,keyword,3.2.4
service_type,keyword,binaryfluxsearch
service_version,keyword,3.2.4
source_address,keyword,
source_as_number,long,15169
source_as_organization_name,keyword,Google LLC
source_as_organization_name_text,match_only_text,Google LLC
source_bytes,long,184
source_domain,keyword,foo.example.com
source_geo_city_name,keyword,Montreal
source_geo_continent_code,keyword,
source_geo_continent_name,keyword,North America
source_geo_country_iso_code,keyword,CA
source_geo_country_name,keyword,Canada
source_geo_location,geo_point,"{ ""lon"": -73.614830, ""lat"": 45.505918 }"
source_geo_name,keyword,boston-dc
source_geo_postal_code,keyword,94040
source_geo_region_iso_code,keyword,CA-QC
source_geo_region_name,keyword,Quebec
source_geo_timezone,keyword,America/Argentina/Buenos_Aires
source_ip,ip,
source_mac,keyword,00-00-5E-00-53-23
source_nat_ip,ip,
source_nat_port,long,
source_packets,long,12
source_port,long,
source_registered_domain,keyword,example.com
source_subdomain,keyword,east
source_top_level_domain,keyword,co.uk
source_user_domain,keyword,
source_user_email,keyword,
source_user_full_name,keyword,Albert Einstein
source_user_full_name_text,match_only_text,Albert Einstein
source_user_group_domain,keyword,
source_user_group_id,keyword,
source_user_group_name,keyword,
source_user_hash,keyword,
source_user_id,keyword,S-1-5-21-202424912787-2692429404-2351956786-1000
source_user_name,keyword,a.einstein
source_user_name_text,match_only_text,a.einstein
source_user_roles,keyword,"[""kibana_admin"", ""reporting_user""]"
span_id,keyword,3ff9a8981b7ccd5a
threat_enrichments,nested,
threat_enrichments_indicator,object,
threat_enrichments_indicator_as_number,long,15169
threat_enrichments_indicator_as_organization_name,keyword,Google LLC
threat_enrichments_indicator_as_organization_name_text,match_only_text,Google LLC
threat_enrichments_indicator_confidence,keyword,Medium
threat_enrichments_indicator_description,keyword,IP x.x.x.x was observed delivering the Angler EK.
threat_enrichments_indicator_email_address,keyword,phish@example.com
threat_enrichments_indicator_file_accessed,date,
threat_enrichments_indicator_file_attributes,keyword,"[""readonly"", ""system""]"
threat_enrichments_indicator_file_code_signature_digest_algorithm,keyword,sha256
threat_enrichments_indicator_file_code_signature_exists,boolean,true
threat_enrichments_indicator_file_code_signature_flags,keyword,570522385
threat_enrichments_indicator_file_code_signature_signing_id,keyword,com.apple.xpc.proxy
threat_enrichments_indicator_file_code_signature_status,keyword,ERROR_UNTRUSTED_ROOT
threat_enrichments_indicator_file_code_signature_subject_name,keyword,Microsoft Corporation
threat_enrichments_indicator_file_code_signature_team_id,keyword,EQHXZ8M8AV
threat_enrichments_indicator_file_code_signature_thumbprint_sha256,keyword,c0f23a8eb1cba0ccaa88483b5a234c96e4bdfec719bf458024e68c2a8183476b
threat_enrichments_indicator_file_code_signature_timestamp,date,2021-01-01T12:10:30Z
threat_enrichments_indicator_file_code_signature_trusted,boolean,true
threat_enrichments_indicator_file_code_signature_valid,boolean,true
threat_enrichments_indicator_file_created,date,
threat_enrichments_indicator_file_ctime,date,
threat_enrichments_indicator_file_device,keyword,sda
threat_enrichments_indicator_file_directory,keyword,/home/alice
threat_enrichments_indicator_file_drive_letter,keyword,C
threat_enrichments_indicator_file_elf_architecture,keyword,x86-64
threat_enrichments_indicator_file_elf_byte_order,keyword,Little Endian
threat_enrichments_indicator_file_elf_cpu_type,keyword,Intel
threat_enrichments_indicator_file_elf_creation_date,date,
threat_enrichments_indicator_file_elf_exports,flattened,
threat_enrichments_indicator_file_elf_go_import_hash,keyword,10bddcb4cee42080f76c88d9ff964491
threat_enrichments_indicator_file_elf_go_imports,flattened,
threat_enrichments_indicator_file_elf_go_imports_names_entropy,long,
threat_enrichments_indicator_file_elf_go_imports_names_var_entropy,long,
threat_enrichments_indicator_file_elf_go_stripped,boolean,
threat_enrichments_indicator_file_elf_header_abi_version,keyword,
threat_enrichments_indicator_file_elf_header_class,keyword,
threat_enrichments_indicator_file_elf_header_data,keyword,
threat_enrichments_indicator_file_elf_header_entrypoint,long,
threat_enrichments_indicator_file_elf_header_object_version,keyword,
threat_enrichments_indicator_file_elf_header_os_abi,keyword,
threat_enrichments_indicator_file_elf_header_type,keyword,
threat_enrichments_indicator_file_elf_header_version,keyword,
threat_enrichments_indicator_file_elf_import_hash,keyword,d41d8cd98f00b204e9800998ecf8427e
threat_enrichments_indicator_file_elf_imports,flattened,
threat_enrichments_indicator_file_elf_imports_names_entropy,long,
threat_enrichments_indicator_file_elf_imports_names_var_entropy,long,
threat_enrichments_indicator_file_elf_sections,nested,
threat_enrichments_indicator_file_elf_sections_chi2,long,
threat_enrichments_indicator_file_elf_sections_entropy,long,
threat_enrichments_indicator_file_elf_sections_flags,keyword,
threat_enrichments_indicator_file_elf_sections_name,keyword,
threat_enrichments_indicator_file_elf_sections_physical_offset,keyword,
threat_enrichments_indicator_file_elf_sections_physical_size,long,
threat_enrichments_indicator_file_elf_sections_type,keyword,
threat_enrichments_indicator_file_elf_sections_var_entropy,long,
threat_enrichments_indicator_file_elf_sections_virtual_address,long,
threat_enrichments_indicator_file_elf_sections_virtual_size,long,
threat_enrichments_indicator_file_elf_segments,nested,
threat_enrichments_indicator_file_elf_segments_sections,keyword,
threat_enrichments_indicator_file_elf_segments_type,keyword,
threat_enrichments_indicator_file_elf_shared_libraries,keyword,
threat_enrichments_indicator_file_elf_telfhash,keyword,
threat_enrichments_indicator_file_extension,keyword,png
threat_enrichments_indicator_file_fork_name,keyword,Zone.Identifer
threat_enrichments_indicator_file_gid,keyword,1001
threat_enrichments_indicator_file_group,keyword,alice
threat_enrichments_indicator_file_hash_cdhash,keyword,3783b4052fd474dbe30676b45c329e7a6d44acd9
threat_enrichments_indicator_file_hash_md5,keyword,
threat_enrichments_indicator_file_hash_sha1,keyword,
threat_enrichments_indicator_file_hash_sha256,keyword,
threat_enrichments_indicator_file_hash_sha384,keyword,
threat_enrichments_indicator_file_hash_sha512,keyword,
threat_enrichments_indicator_file_hash_ssdeep,keyword,
threat_enrichments_indicator_file_hash_tlsh,keyword,
threat_enrichments_indicator_file_inode,keyword,256383
threat_enrichments_indicator_file_mime_type,keyword,
threat_enrichments_indicator_file_mode,keyword,0640
threat_enrichments_indicator_file_mtime,date,
threat_enrichments_indicator_file_name,keyword,example.png
threat_enrichments_indicator_file_origin_referrer_url,keyword,http://example.com/article1.html
threat_enrichments_indicator_file_origin_url,keyword,http://example.com/imgs/article1_img1.jpg
threat_enrichments_indicator_file_owner,keyword,alice
threat_enrichments_indicator_file_path,keyword,/home/alice/example.png
threat_enrichments_indicator_file_path_text,match_only_text,/home/alice/example.png
threat_enrichments_indicator_file_pe_architecture,keyword,x64
threat_enrichments_indicator_file_pe_company,keyword,Microsoft Corporation
threat_enrichments_indicator_file_pe_description,keyword,Paint
threat_enrichments_indicator_file_pe_file_version,keyword,6.3.9600.17415
threat_enrichments_indicator_file_pe_go_import_hash,keyword,10bddcb4cee42080f76c88d9ff964491
threat_enrichments_indicator_file_pe_go_imports,flattened,
threat_enrichments_indicator_file_pe_go_imports_names_entropy,long,
threat_enrichments_indicator_file_pe_go_imports_names_var_entropy,long,
threat_enrichments_indicator_file_pe_go_stripped,boolean,
threat_enrichments_indicator_file_pe_imphash,keyword,0c6803c4e922103c4dca5963aad36ddf
threat_enrichments_indicator_file_pe_import_hash,keyword,d41d8cd98f00b204e9800998ecf8427e
threat_enrichments_indicator_file_pe_imports,flattened,
threat_enrichments_indicator_file_pe_imports_names_entropy,long,
threat_enrichments_indicator_file_pe_imports_names_var_entropy,long,
threat_enrichments_indicator_file_pe_original_file_name,keyword,MSPAINT.EXE
threat_enrichments_indicator_file_pe_pehash,keyword,73ff189b63cd6be375a7ff25179a38d347651975
threat_enrichments_indicator_file_pe_product,keyword,Microsoft® Windows® Operating System
threat_enrichments_indicator_file_pe_sections,nested,
threat_enrichments_indicator_file_pe_sections_entropy,long,
threat_enrichments_indicator_file_pe_sections_name,keyword,
threat_enrichments_indicator_file_pe_sections_physical_size,long,
threat_enrichments_indicator_file_pe_sections_var_entropy,long,
threat_enrichments_indicator_file_pe_sections_virtual_size,long,
threat_enrichments_indicator_file_size,long,16384
threat_enrichments_indicator_file_target_path,keyword,
threat_enrichments_indicator_file_target_path_text,match_only_text,
threat_enrichments_indicator_file_type,keyword,file
threat_enrichments_indicator_file_uid,keyword,1001
threat_enrichments_indicator_file_x509_alternative_names,keyword,*.binaryflux.ai
threat_enrichments_indicator_file_x509_issuer_common_name,keyword,Example SHA2 High Assurance Server CA
threat_enrichments_indicator_file_x509_issuer_country,keyword,US
threat_enrichments_indicator_file_x509_issuer_distinguished_name,keyword,"C=US, O=Example Inc, OU=www.example.com, CN=Example SHA2 High Assurance Server CA"
threat_enrichments_indicator_file_x509_issuer_locality,keyword,Mountain View
threat_enrichments_indicator_file_x509_issuer_organization,keyword,Example Inc
threat_enrichments_indicator_file_x509_issuer_organizational_unit,keyword,www.example.com
threat_enrichments_indicator_file_x509_issuer_state_or_province,keyword,California
threat_enrichments_indicator_file_x509_not_after,date,2020-07-16T03:15:39Z
